Tweet_ID,Created_At,Text,Sentiment,Date,Hashtags
1896542472110846287,2025-03-03 12:45:36+00:00,"@DonaldJTrumpJr this will lead to US fixing our corrupt election system. almost none of the current ""elected"" crooks were really voted in by the people. In contrast, President Trump most likely recieved 50 million more votes than were shown in both the 2020 and 2024 elections. EO 13848",Neutral,2025-03-03,[]
1896481257862881603,2025-03-03 08:42:21+00:00,"@truegurufarino @PStyle0ne1 Trump's US would never fight Russia for Europe

If Ukraine loses, many European countries will get nukes

2024 looks like the last year with free US elections.
Trump aligns with Russia&amp;dictators to be easier to transform US into a oligarchy. He &amp; Musk&amp;co will never leave power.",Positive,2025-03-03,[]
1896465243745947972,2025-03-03 07:38:43+00:00,"@RobManess Legacy Media  &amp; all Western leaders hid this bully's behaviors. Like a kid told ""No"" by dad (Trump), he runs to mommie &amp; sister [US Democrats (losers of 2024 elections) &amp; UK] to get a 'Yes' in the form of billions of dollars. Why? To sell war equipment on a black market?",Negative,2025-03-03,[]
1896423387578437643,2025-03-03 04:52:24+00:00,@RosebudBubbs @defense_civil25 US president can't order to pull out from NATO until and unless 2/3rd of your senate agrees to it. It was a law introduced in 2024 by Biden admin to subdue the fear of Trump's winning chances in 2024 elections.,Positive,2025-03-03,[]
1896419520757092715,2025-03-03 04:37:02+00:00,US Presidential Elections 2024: Ukraine denies links to suspect in Donald Trump assassination attempt - India Today.  If deny it to. Democrats &amp; Ukraine involved?????  https://t.co/VMoGmw6U3E,Negative,2025-03-03,[]
1896396450944499839,2025-03-03 03:05:21+00:00,"Carey Price's wife Angela doubles down on voting for Donald Trump in 2024 US elections
She’s a fuc$$&amp;n idiot ! Voting for a destroyer of democracy! Not too bright https://t.co/UAQG2vXBvl",Negative,2025-03-03,[]
1896375473678193053,2025-03-03 01:42:00+00:00,@Vzladream Trump saved us just in time.  Both countries had 2024 elections.  I wish to God someone else won Britain's election.,Positive,2025-03-03,[]
1896361211148873959,2025-03-03 00:45:20+00:00,"@MyLordBebo Trump understands the sunk cost fallacy (as most good businessmen do).  Besides Ukraine interfered in US elections in 2016 for Clinton refused help to investigate the Biden crime family (leading to the first bogus impeachment) and interfered in the 2024 elections.
Huge mistakes.",Neutral,2025-03-03,[]
1896334011317785069,2025-03-02 22:57:15+00:00,"@maddenifico Donald Trump and JD Vance are currently the most favorably viewed politicians in the United States, according to the most accurate pollster from the last two presidential elections.
https://t.co/A9WaOQKwvH

AtlasIntel provided the most precise estimates for the 2024 US… https://t.co/Ya2DN7lXCx",Positive,2025-03-02,[]
1896330742323675604,2025-03-02 22:44:15+00:00,#Breaking: Defense Secretary Hegseth is paying back #Russia's support for #Trump during the 2024 presidential elections by ordering the #US Cyber Command to ‘Stand Down’ on all Russian operations! He says Russia is no longer a significant cyber threat to the United States! https://t.co/MxhCAOvxvu,Positive,2025-03-02,"['#Breaking', '#Russia', '#Trump', '#US']"
1896319179609067999,2025-03-02 21:58:18+00:00,"It's funny how he blames everyone but himself. 

Joe Biden blamed two famed politicians for Democratic Party loss in U.S elections 2024 and it’s not Kamala https://t.co/t0Un54giDF",Negative,2025-03-02,[]
1896305510980415795,2025-03-02 21:04:00+00:00,"@RichardAngwin @McFaul What do you want to bet the elections, if we have them, will be rigged in Trump's  favor. That's  why Putin has ruled all these years. Voting will not save us. It didn't in 2016 or 2024. It did in 2020 because Trump's hackers bungled the operation.",Negative,2025-03-02,[]
1896276088969646188,2025-03-02 19:07:05+00:00,"Least anyone forget

#Felon47 never has a bad word to say  about #Putin

Plus help in 2016 and 2024 elections 

https://t.co/GXBa3f1Alk",Positive,2025-03-02,"['#Felon47', '#Putin']"
1896272869266796914,2025-03-02 18:54:17+00:00,@RealCandaceO If the 20 year old kids didn’t vote in 2024 elections the Boomers would have brought us Kamala. I couldn’t believe it when I seen the polls. Not the Boomer who runs this house. Trump all the way,Neutral,2025-03-02,[]
1896259967277281362,2025-03-02 18:03:01+00:00,@patreid1775 @Karl0FKC @nexta_tv I also would like to see Trump have a transparent investigation into what happened in 2024 and release all classified documents that involved Foreign interference in the US elections.,Positive,2025-03-02,[]
1896256893812904244,2025-03-02 17:50:48+00:00,"Link to story ""An Immigrant Neighborhood Where Trump Made Inroads Now Fears ICE Raids"": https://t.co/Qz3HUT5gBz
And to map: https://t.co/Q6hUs0wB5j https://t.co/PbZ3ZDsZRY",Negative,2025-03-02,[]
1896249810363273442,2025-03-02 17:22:40+00:00,@KnicksBig15 @TruePG718 @PodKnicks @BrownsvilleNYK @eepdllc @Freekeith @dipjce @DonaldP47082631 @Christian_J_D_M @FireThibodeau @William38874041 @Knickanator_ @knicksrealist @SayMane901 @RaphaelDiaz @Chuck1one @rahmmagick @MindNy77 @Not47Buddz @Statspeg @dorkasaurus_rex @TMal761 @stalling_e @Ant4418 @queens_dude @ValleTheRealest @0oty_Mac @Woodshed_1914 @NastyLykNas @JoeYo1k @dmel910 @MikeFromQns7 @Richierich0215 @HLinPtown @Rick__War @DexterRambo @mikenieve @acinformal @_knicks1688 @ohitskody @net_steven @Jkip52 @AngelBeingAngel @WorkerDrone3 @_CCSports_ @JoelGlenn @ShuaibA12 @J1gg__ @NY_KnicksPR @TheRealMoBamba Except GATES is a democrat his entire life and gave Kamala a cool 50 million. https://t.co/nRjpPTnqGF,Positive,2025-03-02,[]
1896235759033893176,2025-03-02 16:26:49+00:00,"@JDVance July, 2024:

https://t.co/EUetObrgpQ",Neutral,2025-03-02,[]
1896204051131597282,2025-03-02 14:20:50+00:00,"@YourAnonCentral this is such a horseshit post, something has to be said about it.   DM has been unabashedly negative about Trump's chances in US elections. 
2016, 2020 DM had daily hit pieces, usually mutliple. 
In the leadup to 2024, it was the same. 
Read anon horseshit, just don't quote it",Negative,2025-03-02,[]
1896203387399717273,2025-03-02 14:18:11+00:00,"@JDVanceNewsX Trump used The Immigrants' votes to win the 2024 elections.

@HouseDemocrats @SenateDems there should be a recount and let us all see who won the election with only the American votes since trump wants to manipulate the system",Positive,2025-03-02,[]
1896033902789038386,2025-03-02 03:04:43+00:00,"@MeidasTouch Donald Trump and JD Vance are currently the most favorably viewed politicians in the United States, according to the most accurate pollster from the last two presidential elections.
https://t.co/A9WaOQKwvH

AtlasIntel provided the most precise estimates for the 2024 US… https://t.co/m3q4Xydd8A",Positive,2025-03-02,[]
1896029967353593989,2025-03-02 02:49:05+00:00,"@BillyBaldwin Donald Trump and JD Vance are currently the most favorably viewed politicians in the United States, according to the most accurate pollster from the last two presidential elections.
https://t.co/A9WaOQL4lf

AtlasIntel provided the most precise estimates for the 2024 US… https://t.co/KT3t90dEXs",Positive,2025-03-02,[]
1896029532987277416,2025-03-02 02:47:21+00:00,"@MollyBeck Donald Trump and JD Vance are currently the most favorably viewed politicians in the United States, according to the most accurate pollster from the last two presidential elections.
https://t.co/A9WaOQL4lf

AtlasIntel provided the most precise estimates for the 2024 US… https://t.co/RXKbef3ZEe",Positive,2025-03-02,[]
1896027998694097122,2025-03-02 02:41:16+00:00,"@jdpoc Donald Trump and JD Vance are currently the most favorably viewed politicians in the United States, according to the most accurate pollster from the last two presidential elections.
https://t.co/A9WaOQL4lf

AtlasIntel provided the most precise estimates for the 2024 US… https://t.co/LHXFWsVCaF",Positive,2025-03-02,[]
1896027828031807933,2025-03-02 02:40:35+00:00,"@EPersuader @maddenifico Donald Trump and JD Vance are currently the most favorably viewed politicians in the United States, according to the most accurate pollster from the last two presidential elections.
https://t.co/A9WaOQKwvH

AtlasIntel provided the most precise estimates for the 2024 US… https://t.co/5ENNvgqI18",Positive,2025-03-02,[]
1896025298002485392,2025-03-02 02:30:32+00:00,"@Rep_Stansbury Donald Trump and JD Vance are currently the most favorably viewed politicians in the United States, according to the most accurate pollster from the last two presidential elections.
https://t.co/KlsqlPP1cw

AtlasIntel provided the most precise estimates for the 2024 US… https://t.co/9c4yoo2EYM",Positive,2025-03-02,[]
1896024748573835304,2025-03-02 02:28:21+00:00,"@RepSwalwell Donald Trump and JD Vance are currently the most favorably viewed politicians in the United States, according to the most accurate pollster from the last two presidential elections.
https://t.co/A9WaOQKwvH

AtlasIntel provided the most precise estimates for the 2024 US… https://t.co/pX5eSlEeEe",Positive,2025-03-02,[]
1896006330982568002,2025-03-02 01:15:10+00:00,"Pes Biden is justified blaming Pelosi + Obama for the Dems '24 election loss, aside from Stalinkx interference + local interference that we know of.

https://t.co/LEv9skQVrM",Negative,2025-03-02,[]
1895996268964671664,2025-03-02 00:35:11+00:00,"@an0nygir1 @KonstantinKisin Zelensky criticized Trump during the elections and said JD was “too radical” whatever that means. 

https://t.co/d2Ft5C5ai8",Negative,2025-03-02,[]
1895987220743705012,2025-03-01 23:59:13+00:00,"@RealMattMoney @NewsWire_US ""Trump accused Zelensky of being 'A Dictator without Elections!!' Due to the war, Ukraine did delay elections that were scheduled for April 2024.""",Negative,2025-03-01,[]
1895970470748737846,2025-03-01 22:52:40+00:00,"@lgmediaent @TheAcolyte113 @MeidasTouch If the next elections ever are arranged.

https://t.co/22o9wBOmvZ",Neutral,2025-03-01,[]
